id1,id2,weight
鱼香肉丝,猪肉,1
酸菜鱼,鱼,1
红烧牛肉,牛羊肉,1
杂粮煎饼,面点,1
夫妻肺片,猪肉,1
泡椒凤爪,小吃,1
菠萝炒饭,饭,1
牛肉面,面条,1
蒜香排骨,猪肉,1
蔬菜,ChineseFood,1
拔丝山药,蔬菜,1
京酱肉丝,猪肉,1
秋葵鸡蛋,蛋,1
葱油饼,面点,1
拍黄瓜,蔬菜,1
猪肉,肉,1
葱烧海参,鱼,1
炒空心菜,蔬菜,1
香辣牛肚丝,牛羊肉,1
酸汤肥牛,牛羊肉,1
羊肉泡馍,面点,1
糖醋里脊,猪肉,1
烤面筋,小吃,1
蚂蚁上树,猪肉,1
蛋,ChineseFood,1
四喜丸子,小吃,1
叉烧饭,饭,1
千张肉丝,猪肉,1
虎皮青椒,蔬菜,1
西芹炒虾仁,海鲜,1
手撕鸡,禽,1
兰州拉面,面条,1
花卷,面点,1
白灼菜心,蔬菜,1
干锅茶树菇,蔬菜,1
汤,ChineseFood,1
酸辣土豆丝,蔬菜,1
番茄炒鸡蛋,蛋,1
烤茄子,蔬菜,1
米饭,饭,1
凉拌皮蛋,蛋,1
红烧肉,猪肉,1
泡菜苕粉肉丝,猪肉,1
凉拌毛豆,蔬菜,1
豆角烧茄子,蔬菜,1
凉拌海带,小吃,1
土豆泥,小吃,1
金钱蛋,蛋,1
干锅有机花菜,蔬菜,1
蒜蓉粉丝娃娃菜,蔬菜,1
红烧豆腐,豆腐,1
孜然羊肉,牛羊肉,1
白切鸡,禽,1
鼓汁凤爪,小吃,1
辣子鸡丁,禽,1
青椒鸡蛋,蛋,1
粉蒸肉,猪肉,1
口水鸡,禽,1
清炒苦瓜,蔬菜,1
干煸豆角,蔬菜,1
烤韭菜,蔬菜,1
粽子,面点,1
干煸鱿鱼须,鱼,1
蒜苔炒腊肉,猪肉,1
烤鱼,鱼,1
莲藕排骨汤,汤,1
手撕包菜,蔬菜,1
肉夹馍,面点,1
红烧猪蹄,猪肉,1
炒田螺,贝,1
小米粥,粥,1
玉米沙拉,蔬菜,1
牛排,牛羊肉,1
丝瓜炒鸡蛋,蛋,1
螺狮粉,面条,1
农家小炒肉,猪肉,1
紫菜包饭,饭,1
煎饺,面点,1
烤鸡,禽,1
岐山臊子面,面条,1
粉丝蒸扇贝,贝,1
凉拌黑木耳,小吃,1
水煮肉片,猪肉,1
面点,ChineseFood,1
油条,面点,1
炸藕合,蔬菜,1
牛蛙,肉,1
饭,ChineseFood,1
辣炒蚬子,贝,1
素炒藕片,蔬菜,1
扬州炒饭,饭,1
泡椒牛蛙,牛蛙,1
水煮鱼,鱼,1
醋溜白菜,蔬菜,1
猪肉炖粉条,猪肉,1
香菇青菜,蔬菜,1
虾,海鲜,1
干锅鸭头,禽,1
咖喱牛肉,牛羊肉,1
青笋炒肉片,蔬菜,1
凉拌腐竹,小吃,1
香辣虾,虾,1
冬阴功汤,汤,1
热干面,面条,1
回锅肉,猪肉,1
蒜泥白肉,猪肉,1
肠粉,面点,1
铁板豆腐,豆腐,1
炸春卷,小吃,1
酸豆角炒肉末,猪肉,1
烤鸡翅,禽,1
牛肉串,牛羊肉,1
荷包蛋,蛋,1
地三鲜,蔬菜,1
肉酱意粉,面条,1
红枣银耳汤,汤,1
海鲜,ChineseFood,1
苦瓜炒蛋,蔬菜,1
麻辣小龙虾,虾,1
鸭脖,小吃,1
清蒸鱼,鱼,1
酸辣厥根粉,面条,1
粥,ChineseFood,1
酱骨架,猪肉,1
烤乳猪,猪肉,1
豆腐,ChineseFood,1
煎鸡蛋饼,面点,1
荷兰豆炒腊肠,蔬菜,1
小鸡炖蘑菇,禽,1
糖醋蒜,小吃,1
鱼,海鲜,1
糯米鸡,小吃,1
石锅拌饭,饭,1
贝,海鲜,1
小笼包,面点,1
麻辣香锅,蔬菜,1
香干肉丝,猪肉,1
云吞面,面条,1
冬瓜排骨汤,汤,1
皮蛋瘦肉粥,粥,1
鲫鱼豆腐汤,汤,1
小酥肉,猪肉,1
土豆炖牛肉,牛羊肉,1
禽,肉,1
汤圆,面点,1
面条,ChineseFood,1
芒果糯米饭,饭,1
糖醋排骨,猪肉,1
麻婆豆腐,豆腐,1
香菇炒肉,猪肉,1
糖醋鱼,鱼,1
绿豆汤,汤,1
酸辣粉,面条,1
烧卖,面点,1
鸡蛋羹,蛋,1
大盘鸡,禽,1
肉,ChineseFood,1
小吃,ChineseFood,1
炸花生米,小吃,1
韭菜炒鸡蛋,蛋,1
紫菜鸡蛋汤,汤,1
红烧带鱼,鱼,1
炸虾,虾,1
皮蛋拌豆腐,豆腐,1
干锅牛蛙,牛蛙,1
锅包肉,猪肉,1
蟹,海鲜,1
臭豆腐,小吃,1
铁板鱿鱼,海鲜,1
椰子糕,面点,1
梅菜扣肉,猪肉,1
三杯鸡,禽,1
宫保鸡丁,禽,1
清蒸大闸蟹,蟹,1
乌鸡汤,汤,1
剁椒鱼头,鱼,1
松仁玉米,蔬菜,1
九转大肠,猪肉,1
酱牛肉,牛羊肉,1
蒜苔肉丝,蔬菜,1
蚝油生菜,蔬菜,1
炸鸡腿,禽,1
木须肉,猪肉,1
凉皮,面条,1
重庆鸡公煲,禽,1
炸鸡翅,禽,1
肉末茄子,蔬菜,1
蓝莓山药,蔬菜,1
台湾卤肉饭,饭,1
茶叶蛋,蛋,1
牛羊肉,肉,1
